web-scraper-order,web-scraper-start-url,author,title,date,content,rating,label
1580573669-932,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amazon Customer,Thanks to Delivery at my wishes time,Reviewed in India on 30 December 2019,"Thanks for delivery on 30th Dec because ordered time estimate time was 6th Jan 20 then 30th Dec My lovingly Meghan(Wife) B'day. Also I requested to Amazon. Amazon has completely fulfill my wishes. So again thanks. Also I not cancelled order if my order received on 6th Jan. But my wishes has B'day gift is on occasion. After it's not it's charmed.
Thanks for your kind consideration.
Thanking you
Sandip Raval
99250 03007",5.0 out of 5 stars, spam
1580573644-848,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amazon Customer,Sensor Issue,Reviewed in India on 10 November 2019,"Hi Team,

I am having a trouble time with the phone touch. It's response time is terrible.",1.0 out of 5 stars,quality
1580574377-3407,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Angel Singh,The Beast with Limitations..,Reviewed in India on 25 January 2020,"Redmi's Personal Beast is Overall The Best in Market except #AmoleD Pannels ....
This is not for you if Your an Android enthusiast...",5.0 out of 5 stars,quality
1580573743-1197,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,khaja,Camera Error and Heavy weight,Reviewed in India on 17 November 2019,"very bad camera. whenever I start camera it is showing ""camera error. cannot connect to camera"" pops up. we have tried and force stopped the camera app and rebooted. even after having the same error. 0 star for camera  Thinking to return if the problem repeats for 1or 2more days.

weight is also very heavy",1.0 out of 5 stars,quality
1580574487-3799,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,SYAM KRISHNAN.P,Decent product,Reviewed in India on 22 November 2019,It's not a magical device.. But it won't make you sad. Camera is average only.. selfie camera is poor.. all other features are fine.,4.0 out of 5 stars,quality
1580574111-2474,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Siddhi Parab,Just Wow!,Reviewed in India on 1 December 2019,"This is the best phone to buy in 15K!
The camera is good, the battery is best, the screen quality is good too. I played a game of COD and my phone went from 98% to 92%
It's that good",5.0 out of 5 stars,quality
1580574090-2402,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,AmazonCustomer007,Beast in 16k,Reviewed in India on 16 November 2019,"In all aspect it's pretty good in that budget segment. I don't use it for high performance. But while in video calling , it's rear camera gets heated. But later on it's cool down very fast.",4.0 out of 5 stars,quality
1580573781-1324,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Pradyumna sankpal,Budget Monster !,Reviewed in India on 21 January 2020,"Best for Heavy users, below 15000. it was feel and perform like 20 - 25000 r s phones . Helio G90T runs games and app smoothly ,specially  PUBG.  audio is above average ,Alexa works perfect and the main camera in excellent it captures photos nicely . 18 W fast charger charges full battery {4500} mah  in just 110 min .",5.0 out of 5 stars,quality
1580573500-346,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Md Wahab Ansari,Heating problem,Reviewed in India on 7 November 2019,This is awesome phone but one issue heating problem,1.0 out of 5 stars,quality
1580574524-3924,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,fruitesh saxena,Phone is good but one issue in hotspot,Reviewed in India on 30 January 2020,"The Mobile phone performance is awesome but there is an issue in mobile hotspot , in this you can not  manage connected device.",5.0 out of 5 stars,quality
1580573898-1747,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Saurabh Choudhary,Good choice for a Midrange Smartphone,Reviewed in India on 30 December 2019,"Camera is good, processor is fast, video quality is good.. audio not that loud without headphones. What it is on maximum loud should be on somewhat more than half.. battery charging is decently fast but battery life is not that efficient for a 4500 Mph phone.",4.0 out of 5 stars,quality
1580574733-4637,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Atul kumar tiwari,King of budget smartphones,Reviewed in India on 8 November 2019,"Amazing performance build quality excellent
But literally am disappointed because lack of Amoled display",5.0 out of 5 stars,quality
1580574558-4041,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Krishna,Video recording time phone is very heat problem,Reviewed in India on 27 January 2020,Video recording time phone Very heat,4.0 out of 5 stars,quality
1580573810-1429,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,ujjwalkumar,Waste of money totally useless,Reviewed in India on 4 December 2019,"Totally different from as specification, heating issue, camera quality, performance is not good totally waste of money",1.0 out of 5 stars,quality
1580574742-4663,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,surah Yadav,My new phone this is 6th phone in 2 years,Reviewed in India on 26 January 2020,Nice phone,5.0 out of 5 stars,quality
1580574117-2498,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Sunny,Good.,Reviewed in India on 18 January 2020,"Fingerprint reader is little bit slow, battery life is good, camera quality good.",5.0 out of 5 stars,quality
1580573570-584,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Imran khan,50/50,Reviewed in India on 8 November 2019,"Bluish bleeding is present to the top and bottom sides of the phone.
The one side of the camera display has some bluish appearance. And camera is not much good. Heating issue present in the phone. But the performance is extraordinary. This phone only suitable for hard gamers",3.0 out of 5 stars,quality
1580574511-3890,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,DK,Nice mobile,Reviewed in India on 7 November 2019,Good product value for money,4.0 out of 5 stars,quality
1580574137-2565,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,usher,No support of apt or LDAC,Reviewed in India on 30 November 2019,"We don't get support of apt or ldac codec support it is very important please do this in miui 11 update
Without that quality of the sound of Bluetooth devices are very bad",1.0 out of 5 stars,quality
1580574311-3180,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Sanal v r,Good,Reviewed in India on 8 November 2019,Good,4.0 out of 5 stars,quality
1580573561-552,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Abhinav Nandi,Currently the best all rounder phone money can buy in this range,Reviewed in India on 25 December 2019,"This phone does feel way more premium than others in this range, looks at par with any 35-45k phone. Comparatively bigger than the Redmi note 8. Feels decently sturdy build wise and the back cover is worth the look. The 64MP camera along with the other ones put up a good show of details, very steady shots(highly commendable). Quite light in weight too and smooth software performance. I recon its the best buy right now, totally worth the price. Be prepared for shockingly quick lightening fast delivery.",5.0 out of 5 stars,quality
1580574043-2246,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Suraj Singh,Amazing phone,Reviewed in India on 6 November 2019,Amazing phone,5.0 out of 5 stars,quality
1580574322-3220,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Pratik,Superb,Reviewed in India on 15 November 2019,Superb,5.0 out of 5 stars,quality
1580573966-1985,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amit,Budget friendly cell,Reviewed in India on 8 November 2019,"Nice look, Camera is also Awesome, Battery life is average with use of internet. Overall Nice phone with this range.",4.0 out of 5 stars,quality
1580573801-1397,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amazon Customer,Monster machine,Reviewed in India on 23 November 2019,"I have the 8gb variant and it is awesome in simple words it is a monster machine in every aspect from games to camera and battery live , the only drawback is in display fingerprint scanner",5.0 out of 5 stars,quality
1580574570-4084,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,SOHAIl ali,Sohail,Reviewed in India on 2 December 2019,Finger print thick . camera is note good and battery is not good .,3.0 out of 5 stars,quality
1580573840-1538,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,P Vijay Kumar,Unbelievably worst mobile from Redmi,Reviewed in India on 29 January 2020,"Worthless mobile, battery gets drained very fast. Even the battery getting drained when it is on stand by mode also. I sincerely suggest not to go with this model. I am using Redmi from the series note 4, but I really unhappy with this model. Very worst battery life and camera quality.",1.0 out of 5 stars,quality
1580574143-2583,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Shawshank,normal is not a problem,Reviewed in India on 30 December 2019,bad for pub g game too much lack processor not powerful,3.0 out of 5 stars,quality
1580574386-3435,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Kuna Magar,Happy with Redmi Note 8 pro,Reviewed in India on 11 January 2020,"Awesome Device, best camera quality, awesome battery life, best performance.......very Good Device........ happy with Redmi Note 8 pro...",5.0 out of 5 stars,quality
1580574281-3069,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,zakat u.,One of the best mid rangers,Reviewed in India on 13 January 2020,Phone is brilliant. This is what you can expect from a mi phone. Camera is okay. Overall good phone.,5.0 out of 5 stars,quality
1580574360-3347,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,VAIBHAV,"Great looks ,overall nice performance ,decent price",Reviewed in India on 26 November 2019,"Great looks ,overall nice performance ,decent price",4.0 out of 5 stars,quality
